Evidence,Property,Source,Genome Name,Source Organism,Gene,Product,Function,Classification,PubMed,Subject Coverage,Query Coverage,Identity,E-value
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,"Branched-chain amino acid ABC transporter, ATP-binding protein LivG (TC 3.A.1.4.1)",the atp-binding cassette (abc) superfamily.,3.A.1.4.8,,100,100,100,1.00E-143
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,"Cobalt/zinc/cadmium efflux RND transporter, transmembrane protein CzcA",the resistance-nodulation-cell division (rnd) superfamily.,2.A.6.1.13,,100,100,99,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,xcpA/pilD,Leader peptidase (Prepilin peptidase) (EC 3.4.23.43) / N-methyltransferase (EC 2.1.1.-),,"Adherence,Twitching motility",,100,100,99,1.00E-170
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,MexAB-OprM,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM","Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM",efflux pump conferring antibiotic resistance,8226684,,,,
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,Na(+)-dependent branched-chain amino acid transporter,the branched chain amino acid:cation symporter (livcs) family.,2.A.26.1.1,10984043;2111004,100,100,99,1.00E-243
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pchR,Transcriptional regulator PchR,,"Iron uptake,Siderophore",,100,100,100,1.00E-171
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),lecB,Photopexin A,Beta-D-Glucose;Beta-D-Fructopyranose;N-acetyl-alpha-D-glucosamine,Drug target,,100,100,100,1.00E-58
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,OccK1/OpdK,"Outer membrane low permeability porin, OprD family => OccK1/OpdK benzoate/histidine, carbenicillin and cefoxitin uptake","Outer membrane low permeability porin, OprD family => OccK1/OpdK benzoate/histidine, carbenicillin and cefoxitin uptake",protein modulating permeability to antibiotic,15687295,,,,
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa MH38,,"Dipeptide ABC transporter, ATP-binding protein DppD (TC 3.A.1.5.2)",the atp-binding cassette (abc) superfamily.,3.A.1.5.39,,100,100,100,1.00E-184
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,waaG,"UDP-glucose:(heptosyl) LPS alpha1,3-glucosyltransferase WaaG",,"Adherence,Endotoxin",,100,100,99,1.00E-216
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,PA4488,Uncharacterized protein YfaQ,,,14641575,100,100,99,0
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,MexPQ-OpmE,"Multidrug efflux system, membrane fusion component => MexP of MexPQ-OpmE system","Multidrug efflux system, membrane fusion component => MexP of MexPQ-OpmE system",efflux pump conferring antibiotic resistance,16301811,,,,
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,opmD,"Multidrug efflux system, outer membrane factor lipoprotein => OpmD of MexHI-OpmD system",,efflux pump conferring antibiotic resistance,,100,100,99,1.00E-277
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,OccK11/OpdR,"Outer membrane low permeability porin, OprD family => OccK11/OpdR","Outer membrane low permeability porin, OprD family => OccK11/OpdR",protein modulating permeability to antibiotic,22272184,,,,
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,TriABC-OpmH,"Multidrug efflux system, membrane fusion component => TriB of TriABC-OpmH system","Multidrug efflux system, membrane fusion component => TriB of TriABC-OpmH system",efflux pump conferring antibiotic resistance,17720796,,,,
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,xcpW,General secretion pathway protein J,,"Secretion system,Type II secretion system",,100,100,99,1.00E-136
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,EF-Tu,Translation elongation factor Tu,Translation elongation factor Tu,antibiotic target in susceptible species,364475;9678602,,,,
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexK of MexJK-OprM/OpmH system",the resistance-nodulation-cell division (rnd) superfamily.,2.A.6.2.17,10984043,100,100,100,0
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,mexE,"Multidrug efflux system, membrane fusion component => MexE of MexEF-OprN system",,efflux pump conferring antibiotic resistance,,100,100,99,1.00E-232
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,mexH,"Multidrug efflux system, membrane fusion component => MexH of MexHI-OpmD system",,efflux pump conferring antibiotic resistance,,100,100,100,1.00E-203
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa UCBPP-PA14,gacA,BarA-associated response regulator UvrY (= GacA = SirA),,,9371831,100,100,100,1.00E-117
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,ponB,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-),Cefpiramide;Ceftazidime;Cefoperazone;Ceftolozane,Drug target,,100,100,99,0
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa UCBPP-PA14,flhB,Flagellar biosynthesis protein FlhB,,,18591226,100,100,100,1.00E-212
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,ptxR,"Transcriptional regulator PtxR, LysR family",,,,100,100,99,1.00E-177
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,fliR,Flagellar biosynthesis protein FliR,,"Adherence,Motility",,100,100,99,1.00E-139
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,pepA,Cytosol aminopeptidase PepA (EC 3.4.11.1),,,14641575,100,100,100,1.00E-283
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,purD,Phosphoribosylamine--glycine ligase (EC 6.3.4.13),,,14641575,100,100,99,1.00E-246
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas stutzeri ATCC 14405 = CCUG 16156,,Cytochrome c oxidase (cbb3-type) subunit CcoN (EC 1.9.3.1),the proton-translocating cytochrome oxidase (cox) superfamily.,3.D.4.3.3,20576851;22328767,98,98,85,1.00E-251
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,flgI,Flagellar P-ring protein FlgI,,"Adherence,Motility",,100,100,100,1.00E-206
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,mexF,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexF of MexEF-OprN system",,efflux pump conferring antibiotic resistance,,100,100,100,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,mucE,hypothetical protein,,,,100,100,100,8.00E-45
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,phzE1,2-Amino-2-deoxy-isochorismate synthase (EC 2.6.1.86) PhzE,,,,100,100,100,0
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,OccK10/OpdN,"Outer membrane low permeability porin, OprD family => OccK10/OpdN","Outer membrane low permeability porin, OprD family => OccK10/OpdN",protein modulating permeability to antibiotic,22272184,,,,
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,MacA,Macrolide-specific efflux protein MacA,Macrolide-specific efflux protein MacA,efflux pump conferring antibiotic resistance,11544226,,,,
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,Long-chain fatty acid transport protein,(Hydroxyethyloxy)Tri(Ethyloxy)Octane,Drug target,,99,96,100,1.00E-280
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,Alr,Alanine racemase (EC 5.1.1.1),Alanine racemase (EC 5.1.1.1),antibiotic target in susceptible species,19748470;24303782,,,,
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,algR,Alginate biosynthesis two-component system response regulator AlgR,,,12379685,100,100,100,1.00E-137
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain PA7),,hypothetical protein,the pleurotolysin pore-forming (pleurotolysin) family.,1.C.97.3.4,,93,83,81,2.00E-48
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,tagF/pppB,T6SS associated component TagF (ImpM),,"Secretion system,Type VI secretion system",,100,100,99,1.00E-131
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,nuoD,NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3) / NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3),,,14641575,100,100,100,0
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,S10p,SSU ribosomal protein S10p (S20e),SSU ribosomal protein S10p (S20e),antibiotic target in susceptible species,26124155,,,,
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),dadX,Alanine racemase (EC 5.1.1.1),D-Lysine;Lysine Nz-Carboxylic Acid,Drug target,,100,100,99,1.00E-207
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,Nitric-oxide reductase subunit C (EC 1.7.99.7),the proton-translocating cytochrome oxidase (cox) superfamily.,3.D.4.10.3,10984043;7711073,100,100,99,1.00E-82
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,"Multidrug efflux system MdtABC-TolC, inner-membrane proton/drug antiporter MdtC (RND type)",the resistance-nodulation-cell division (rnd) superfamily.,2.A.6.2.39,10984043,100,100,99,0
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas putida (strain KT2440),hutU,Urocanate hydratase (EC 4.2.1.49),trans-urocanic acid,Drug target,,99,99,91,1e-312
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pilI,type IV pili signal transduction protein PilI,,"Adherence,Twitching motility",,100,100,100,1.00E-101
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,"Cytochrome c-type biogenesis protein CcmC, putative heme lyase for CcmE",the putative heme handling protein (hhp) family.,9.B.14.2.4,,99,100,100,1.00E-149
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa MH38,,"Dipeptide ABC transporter, permease protein DppB (TC 3.A.1.5.2)",the atp-binding cassette (abc) superfamily.,3.A.1.5.39,,100,100,100,1.00E-190
BLAT,Drug Target,TTD,Pseudomonas aeruginosa ,,,Aspartate carbamoyltransferase (EC 2.1.3.2),,,,99,99,89,1.00E-167
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,PA0082,T6SS component TssA (ImpA),,,12023080,100,100,99,1.00E-192
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,"Multidrug efflux system, membrane fusion component => TriB of TriABC-OpmH system",the resistance-nodulation-cell division (rnd) superfamily.,2.A.6.2.27,10984043,100,100,99,1.00E-196
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,hsiB1/vipA,T6SS component TssB (ImpB/VipA),,"Secretion system,Type VI secretion system",,100,100,100,1.00E-91
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,OprB,Carbohydrate-selective porin OprB,Carbohydrate-selective porin OprB,protein modulating permeability to antibiotic,7768797;8125108,,,,
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,PgsA,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5),CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5),protein altering cell wall charge conferring antibiotic resistance,22238576,,,,
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Escherichia coli (strain K12),codA,Cytosine deaminase (EC 3.5.4.1),"4-Hydroxy-3,4-Dihydro-1h-Pyrimidin-2-One;5-Fluoro-4-(S)-Hydroxy-3,4-Dihydropyrimidine",Drug target,,88,89,81,1.00E-187
BLAT,Antibiotic Resistance,NDARO,Pseudomonas aeruginosa ,Pseudomonas,,Class C beta-lactamase (EC 3.5.2.6) => PDC family,MULTISPECIES: class C extended-spectrum beta-lactamase PDC-5,,,100,100,100,1.00E-234
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,MexHI-OpmD,"Multidrug efflux system, membrane fusion component => MexH of MexHI-OpmD system","Multidrug efflux system, membrane fusion component => MexH of MexHI-OpmD system",efflux pump conferring antibiotic resistance,12177331,,,,
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),arcA,Arginine deiminase (EC 3.5.3.6),L-CYSTEIN-S-1-(IMINOMETHYL)-L-ORNITHINE,Drug target,,100,100,99,1.00E-248
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,waaF,ADP-heptose--lipooligosaccharide heptosyltransferase II,,"Adherence,Endotoxin",,100,100,99,1.00E-204
BLAT,Drug Target,TTD,Pseudomonas aeruginosa ,,,Indole-3-glycerol phosphate synthase (EC 4.1.1.48),,,,100,100,99,1.00E-151
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pcrH,Type III secretion chaperone protein for YopD (SycD),,"Secretion system,Type III secretion system",,98,98,98,3.00E-90
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),argB,N-acetylglutamate kinase (EC 2.7.2.8),N-Acetyl-L-Glutamate,Drug target,,100,100,100,1.00E-167
