Genome,Feature Type,Start,End,Length,Strand,AA Length,Gene Symbol,Product,GO
Pseudomonas aeruginosa ,CDS,1165709,1166062,354,+,117,,"RidA/YER057c/UK114 superfamily, group 2, YoaB-like protein",
Pseudomonas aeruginosa ,CDS,1166153,1167226,1074,+,357,,Alanine racemase (EC 5.1.1.1),GO:0008784|alanine racemase activity
Pseudomonas aeruginosa ,CDS,116718,118181,1464,+,487,,"Multidrug efflux system, outer membrane factor lipoprotein => OpmD of MexHI-OpmD system",
Pseudomonas aeruginosa ,CDS,1167377,1167925,549,+,182,,Putrescine utilization regulator,
Pseudomonas aeruginosa ,CDS,1168129,1168557,429,+,142,,Cytochrome c5,
Pseudomonas aeruginosa ,CDS,1168698,1170626,1929,+,642,,Acetyl-CoA hydrolase,
Pseudomonas aeruginosa ,CDS,1170634,1171206,573,-,190,,Xanthine phosphoribosyltransferase (EC 2.4.2.22),GO:0000310|xanthine phosphoribosyltransferase activity
Pseudomonas aeruginosa ,CDS,1171370,1173088,1719,-,572,,Pyruvate dehydrogenase (quinone) (EC 1.2.5.1),GO:0052737|pyruvate dehydrogenase (quinone) activity
Pseudomonas aeruginosa ,CDS,1173222,1175231,2010,-,669,,ATP-dependent DNA helicase Rep,
Pseudomonas aeruginosa ,CDS,1177007,1178473,1467,-,488,,"Multidrug and toxin extrusion (MATE) family efflux pump YdhE/NorM, homolog",
Pseudomonas aeruginosa ,CDS,1178622,1179539,918,+,305,,"Transcriptional regulator, LysR family",
Pseudomonas aeruginosa ,CDS,1179690,1180739,1050,+,349,,Phosphoserine phosphatase (EC 3.1.3.3),GO:0004647|phosphoserine phosphatase activity
Pseudomonas aeruginosa ,CDS,1180782,1182767,1986,-,661,,Secondary glycine betaine transporter BetU,
Pseudomonas aeruginosa ,CDS,118192,119196,1005,-,334,,Phenazine-specific methyltransferase PhzM,
Pseudomonas aeruginosa ,CDS,1182892,1184385,1494,-,497,,"AAA+ ATPase superfamily protein YifB/ComM, associated with DNA recombination",
Pseudomonas aeruginosa ,CDS,1184426,1184686,261,-,86,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1185126,1185464,339,+,112,,"Nitrogen regulatory protein P-II, GlnK",
Pseudomonas aeruginosa ,CDS,1185504,1186832,1329,+,442,,Ammonium transporter,
Pseudomonas aeruginosa ,CDS,1187093,1187518,426,+,141,,UPF0047 protein YjbQ,
Pseudomonas aeruginosa ,CDS,1187596,1187913,318,+,105,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1187966,1188169,204,+,67,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1188337,1189251,915,+,304,,"P pilus assembly protein, pilin FimA",
Pseudomonas aeruginosa ,CDS,1189276,1190652,1377,-,458,,"DNA-binding transcriptional regulator, MocR family / aminotransferase domain",
Pseudomonas aeruginosa ,CDS,1190815,1191984,1170,+,389,,Uncharacterized MFS-type transporter,
Pseudomonas aeruginosa ,CDS,1192015,1192713,699,-,232,,2-haloalkanoic acid dehalogenase (EC 3.8.1.2),GO:0018784|(S)-2-haloacid dehalogenase activity
Pseudomonas aeruginosa ,CDS,1192710,1193621,912,-,303,,Site-specific tyrosine recombinase XerC,
Pseudomonas aeruginosa ,CDS,1193641,1194342,702,-,233,,Protein of unknown function DUF484,
Pseudomonas aeruginosa ,CDS,1194373,1195203,831,-,276,,Diaminopimelate epimerase (EC 5.1.1.7),GO:0008837|diaminopimelate epimerase activity
Pseudomonas aeruginosa ,CDS,1195214,1196461,1248,-,415,,Diaminopimelate decarboxylase (EC 4.1.1.20),GO:0008836|diaminopimelate decarboxylase activity
Pseudomonas aeruginosa ,CDS,1196472,1196612,141,-,46,,Diaminopimelate decarboxylase and/or diaminopimelate epimerase leader peptide,
Pseudomonas aeruginosa ,CDS,1196866,1197201,336,+,111,,"Frataxin homolog CyaY, facilitates Fe-S cluster assembly, interacts with IscS",
Pseudomonas aeruginosa ,CDS,1197524,1197928,405,+,134,,Regulator of nucleoside diphosphate kinase,
Pseudomonas aeruginosa ,CDS,1197972,1198685,714,-,237,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1198726,1201578,2853,-,950,,Adenylate cyclase (EC 4.6.1.1),GO:0004016|adenylate cyclase activity
Pseudomonas aeruginosa ,CDS,119893,120381,489,+,162,,Phenazine biosynthesis protein PhzA,
Pseudomonas aeruginosa ,CDS,1201727,1201960,234,-,77,,DNA-binding protein inhibitor Id-2-related protein,
Pseudomonas aeruginosa ,CDS,1202003,1202770,768,-,255,,"ABC-type amino acid transport/signal transduction system, periplasmic component/domain",
Pseudomonas aeruginosa ,CDS,1202903,1203178,276,-,91,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1203229,1204260,1032,+,343,,Magnesium and cobalt transport protein CorA,
Pseudomonas aeruginosa ,CDS,120411,120899,489,+,162,,Phenazine biosynthesis protein PhzB,
Pseudomonas aeruginosa ,CDS,1204553,1205071,519,+,172,,T6SS component Hcp,
Pseudomonas aeruginosa ,CDS,1205271,1207313,2043,+,680,,VgrG protein,
Pseudomonas aeruginosa ,CDS,1207303,1208184,882,+,293,,"membrane protein, putative",
Pseudomonas aeruginosa ,CDS,1208181,1211705,3525,+,1174,,FIG00954213: hypothetical protein,
Pseudomonas aeruginosa ,CDS,120935,122152,1218,+,405,,2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II PhzC (EC 2.5.1.54),GO:0003849|3-deoxy-7-phosphoheptulonate synthase activity
Pseudomonas aeruginosa ,CDS,1211974,1212831,858,+,285,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1212968,1214362,1395,-,464,,Argininosuccinate lyase (EC 4.3.2.1),GO:0004056|argininosuccinate lyase activity
Pseudomonas aeruginosa ,CDS,1214587,1215663,1077,+,358,,Alginate biosynthesis two-component system sensor histidine kinase AlgZ/FimS,
Pseudomonas aeruginosa ,CDS,1215668,1216414,747,+,248,,Alginate biosynthesis two-component system response regulator AlgR,
Pseudomonas aeruginosa ,CDS,1216523,1217464,942,+,313,,Porphobilinogen deaminase (EC 2.5.1.61),GO:0004418|hydroxymethylbilane synthase activity
Pseudomonas aeruginosa ,CDS,1217461,1218216,756,+,251,,Uroporphyrinogen-III synthase (EC 4.2.1.75),GO:0004852|uroporphyrinogen-III synthase activity
Pseudomonas aeruginosa ,CDS,1218243,1219373,1131,+,376,,Uncharacterized protein EC-HemX,
Pseudomonas aeruginosa ,CDS,1219370,1220608,1239,+,412,,Uncharacterized protein EC-HemY in Proteobacteria (unrelated to HemY-type PPO in GramPositives),
Pseudomonas aeruginosa ,CDS,1220788,1221279,492,+,163,,"Periplasmic thiol:disulfide oxidoreductase DsbB, required for DsbA reoxidation",
